symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
VZ,16,8,8,50.0%,2158.04,0.00,2158.04,3.3%,-1.2%,2.79
BRK.B,17,7,10,41.2%,2057.78,0.00,2057.78,4.9%,-1.5%,3.34
CSCO,15,6,9,40.0%,1936.82,0.00,1936.82,4.9%,-1.7%,2.84
GS,27,7,20,25.9%,1885.25,0.00,1885.25,10.7%,-2.5%,4.23
COST,31,13,18,41.9%,1860.32,0.00,1860.32,3.7%,-2.0%,1.86
SO,40,13,27,32.5%,1659.33,0.00,1659.33,3.1%,-1.2%,2.55
WMT,27,9,18,33.3%,1658.27,0.00,1658.27,4.5%,-1.5%,2.95
HD,28,11,17,39.3%,1083.13,0.00,1083.13,3.8%,-1.8%,2.08
MDT,23,8,15,34.8%,1019.60,0.00,1019.60,4.0%,-1.7%,2.34
CAT,23,7,16,30.4%,954.93,0.00,954.93,6.2%,-2.1%,2.91
RTX,13,4,9,30.8%,927.85,0.00,927.85,4.8%,-1.6%,2.98
NEE,37,11,26,29.7%,739.00,0.00,739.00,5.0%,-2.0%,2.46
V,22,8,14,36.4%,683.27,0.00,683.27,3.6%,-1.6%,2.28
BMY,20,10,10,50.0%,648.13,0.00,648.13,3.7%,-2.3%,1.59
AXP,18,7,11,38.9%,574.92,0.00,574.92,3.8%,-2.0%,1.91
ABT,26,8,18,30.8%,478.12,0.00,478.12,4.8%,-1.8%,2.69
USB,18,5,13,27.8%,451.24,0.00,451.24,5.6%,-1.9%,2.98
BA,38,15,23,39.5%,403.24,0.00,403.24,5.0%,-2.7%,1.87
SLB,22,8,14,36.4%,342.52,0.00,342.52,4.6%,-2.6%,1.77
DUK,28,11,17,39.3%,278.62,0.00,278.62,2.2%,-1.1%,1.91
TMO,33,11,22,33.3%,137.67,0.00,137.67,5.0%,-2.4%,2.07
KO,23,9,14,39.1%,103.94,0.00,103.94,2.1%,-1.4%,1.50
CVX,26,6,20,23.1%,-64.31,0.00,-64.31,7.2%,-1.8%,3.94
MA,26,9,17,34.6%,-73.47,0.00,-73.47,3.7%,-2.3%,1.62
INTC,22,7,15,31.8%,-84.87,0.00,-84.87,5.3%,-2.2%,2.40
BAC,5,2,3,40.0%,-161.43,0.00,-161.43,1.3%,-1.1%,1.24
MSFT,26,9,17,34.6%,-415.10,0.00,-415.10,3.9%,-2.1%,1.83
MCD,39,9,30,23.1%,-534.87,0.00,-534.87,4.5%,-1.3%,3.44
MRK,27,10,17,37.0%,-614.98,0.00,-614.98,3.7%,-2.5%,1.49
JNJ,23,8,15,34.8%,-673.24,0.00,-673.24,2.6%,-1.7%,1.57
MMM,16,5,11,31.2%,-775.42,0.00,-775.42,2.7%,-2.0%,1.33
HON,13,3,10,23.1%,-895.37,0.00,-895.37,1.4%,-1.2%,1.18
GE,26,8,18,30.8%,-919.86,0.00,-919.86,5.5%,-2.9%,1.91
TXN,25,8,17,32.0%,-1059.33,0.00,-1059.33,3.7%,-2.1%,1.75
MS,10,3,7,30.0%,-1180.42,0.00,-1180.42,0.8%,-1.9%,0.42
SBUX,25,8,17,32.0%,-1234.87,0.00,-1234.87,5.0%,-2.6%,1.94
UNP,23,6,17,26.1%,-1246.84,0.00,-1246.84,3.4%,-1.9%,1.74
PEP,22,6,16,27.3%,-1320.54,0.00,-1320.54,0.9%,-1.0%,0.85
