Date,Ticker,Direction,Quantity,Price,Value,Status
2020-12-01T15:00:00Z,GE,SELL,3083.0,49.5531745281421,152772.4370702621,3
2020-12-01T15:00:00Z,HON,BUY,125.0,173.561161085119,21695.145135639876,3
2020-12-01T15:00:00Z,CAT,BUY,138.0,157.846324386,21782.792765268,3
2020-12-01T15:00:00Z,AVGO,BUY,608.0,35.8212130902,21779.2975588416,3
2020-12-01T15:00:00Z,NKE,BUY,174.0,125.18480547,21782.15615178,3
2020-12-01T15:00:00Z,BLK,BUY,35.0,616.297715925,21570.420057375,3
2020-12-01T15:00:00Z,DIS,BUY,150.0,144.565565428,21684.8348142,3
2021-01-04T15:00:00Z,BLK,SELL,35.0,639.997032904,22399.89615164,3
2021-01-04T15:00:00Z,TSLA,SELL,13.0,235.223309811,3057.903027543,3
2021-01-04T15:00:00Z,DIS,SELL,15.0,177.011483032,2655.17224548,3
2021-01-04T15:00:00Z,GE,BUY,16.0,52.6195128761531,841.9122060184496,3
2021-01-04T15:00:00Z,HON,BUY,7.0,181.034027867815,1267.238195074705,3
2021-01-04T15:00:00Z,NKE,BUY,8.0,131.741093953,1053.928751624,3
2021-01-04T15:00:00Z,AAPL,BUY,186.0,129.004548519,23994.846024534,3
2021-01-04T15:00:00Z,CAT,BUY,7.0,165.511768908,1158.582382356,3
2021-02-01T15:00:00Z,AAPL,SELL,186.0,128.294824196,23862.837300456,3
2021-02-01T15:00:00Z,AVGO,SELL,608.0,40.52731337,24640.60652896,3
2021-02-01T15:00:00Z,NKE,SELL,182.0,124.403002341,22641.346426062,3
2021-02-01T15:00:00Z,CAT,SELL,145.0,167.141979256,24235.58699212,3
2021-02-01T15:00:00Z,HON,SELL,132.0,166.07978306463,21922.53136453116,3
2021-02-01T15:00:00Z,GE,SELL,456.0,52.0348516219737,23727.892339620008,3
2021-02-01T15:00:00Z,DIS,SELL,135.0,164.310581832,22181.92854732,3
2021-02-01T15:00:00Z,TSLA,BUY,78.0,264.509973549,20631.777936822,3
2021-02-01T15:00:00Z,LLY,BUY,241.0,197.35916263,47563.55819383,3
2021-02-01T15:00:00Z,MSFT,BUY,214.0,222.574852008,47631.018329712,3
2021-02-01T15:00:00Z,JNJ,BUY,334.0,142.439210694,47574.696371796,3
2021-03-01T15:00:00Z,MSFT,SELL,214.0,223.491418524,47827.163564136,3
2021-03-01T15:00:00Z,TSLA,SELL,180.0,225.16664415,40529.995947,3
2021-03-01T15:00:00Z,JNJ,SELL,334.0,139.224318756,46500.922464504,3
2021-03-01T15:00:00Z,GE,BUY,372.0,61.0971010617556,22728.121594973083,3
2021-03-01T15:00:00Z,GS,BUY,80.0,283.698271948,22695.86175584,3
2021-03-01T15:00:00Z,CAT,BUY,115.0,197.345277192,22694.70687708,3
2021-03-01T15:00:00Z,JPM,BUY,175.0,129.601831439,22680.320501825,3
2021-03-01T15:00:00Z,DIS,BUY,123.0,184.74926284,22724.15932932,3
2021-03-01T15:00:00Z,LLY,SELL,125.0,195.26734522,24408.4181525,3
2021-03-01T15:00:00Z,GOOGL,BUY,226.0,100.3373848455,22676.248975083,3
2021-03-01T15:00:00Z,CMCSA,BUY,557.0,40.7955305025767,22723.11048993522,3
2021-04-01T14:00:00Z,GOOGL,SELL,226.0,102.352658126,23131.700736476,3
2021-04-01T14:00:00Z,LLY,SELL,116.0,178.02862444,20651.32043504,3
2021-04-01T14:00:00Z,GS,SELL,80.0,291.5166414,23321.331312,3
2021-04-01T14:00:00Z,GE,SELL,372.0,64.0188624751696,23815.01684076309,3
2021-04-01T14:00:00Z,CMCSA,SELL,557.0,41.8711334501978,23322.221331760175,3
2021-04-01T14:00:00Z,DIS,SELL,123.0,180.343027116,22182.192335268,3
2021-04-01T14:00:00Z,CAT,SELL,7.0,211.962430158,1483.737011106,3
2021-04-01T14:00:00Z,HON,BUY,124.0,185.57124645532,23010.83456045968,3
2021-04-01T14:00:00Z,UNH,BUY,67.0,344.169363668,23059.347365756,3
2021-04-01T14:00:00Z,HD,BUY,84.0,271.94081475,22843.028439,3
2021-04-01T14:00:00Z,META,BUY,78.0,292.486904296,22813.978535088,3
2021-04-01T14:00:00Z,PFE,BUY,804.0,28.70523288,23079.00723552,3
